"created_at","id","text","user_id","user_name","user_screen_name","user_location","user_followers_count","user_friends_count","user_created_at","user_time_zone","user_profile_background_color","user_profile_image_url","geo","coordinates","place"
"Thu Apr 02 20:46:06 +0000 2015",583732159866921000,"@Bikeal32 haha, I'm in the same boat. The greeny is an Aussie.",,,,,,,,,,,null,null,null
"Thu Apr 02 20:46:07 +0000 2015",583732161104216000,"Doin' the Lake Thang! #overcast #chilly #boat #nature #outside #beard #degray #lake #resortâ€¦ https://t.co/3Y8N5AZu90",,,,,,,,,,,{"type":"Point","coordinates":[33.911794,-92.946107]},{"type":"Point","coordinates":[-92.946107,33.911794]},{"id":"e8ad2641c1cb666c","url":"https://api.twitter.com/1.1/geo/id/e8ad2641c1cb666c.json","place_type":"admin","name":"Arkansas","full_name":"Arkansas, USA","country_code":"US","country":"United States","bounding_box":{"type":"Polygon","coordinates":[[[-94.61771,33.004106],[-94.61771,36.499767],[-89.644838,36.499767],[-89.644838,33.004106]]]},"attributes":{}}
"Thu Apr 02 20:46:07 +0000 2015",583732164354768900,"this wind reminds me of being on a boat. So who's down for a block island ferry adventure some weekend soon ðŸ˜Š",,,,,,,,,,,null,null,null
"Thu Apr 02 20:46:09 +0000 2015",583732170914672600,".@GilesScott on life in a borrowed boat @TrofeoSofia plus hear from double race winners @pascoesailing &amp; @Team3_2_1 https://t.co/Lh71TD5Pah",,,,,,,,,,,null,null,null
"Thu Apr 02 20:46:10 +0000 2015",583732175167586300,"Randall Halls card board boat for Edays! @MinesMAC http://t.co/MdgquFewms",,,,,,,,,,,null,null,null
"Thu Apr 02 20:46:11 +0000 2015",583732179534016500,"RT @JustHistoryPics: A welder at a boat-and-sub-building yard adjusts her goggles before resuming work, October 1943 http://t.co/4yb4NzSke2",,,,,,,,,,,null,null,null
"Thu Apr 02 20:46:16 +0000 2015",583732202191487000,"@DavinaRivers @sarahezekiel Come on! Any time! Bring the family I have tons of room!! It's a huge boat and I only use a small portion xxx",,,,,,,,,,,null,null,{"id":"bc3a38d3d5999b4b","url":"https://api.twitter.com/1.1/geo/id/bc3a38d3d5999b4b.json","place_type":"admin","name":"Washington","full_name":"Washington, USA","country_code":"US","country":"United States","bounding_box":{"type":"Polygon","coordinates":[[[-124.848975,45.543542],[-124.848975,49.002493],[-116.915989,49.002493],[-116.915989,45.543542]]]},"attributes":{}}
"Thu Apr 02 20:46:18 +0000 2015",583732209770700800,"RT @JustHistoryPics: A welder at a boat-and-sub-building yard adjusts her goggles before resuming work, October 1943 http://t.co/4yb4NzSke2",,,,,,,,,,,null,null,null
"Thu Apr 02 20:46:20 +0000 2015",583732216225783800,"RT @JustHistoryPics: A welder at a boat-and-sub-building yard adjusts her goggles before resuming work, October 1943 http://t.co/4yb4NzSke2",,,,,,,,,,,null,null,null
"Thu Apr 02 20:46:21 +0000 2015",583732221489610800,"RT @VO65_DONGFENG: Big working day to clean up the boat for dongfeng crew. #dfrt #vor http://t.co/SiUwIo7Puk",,,,,,,,,,,null,null,null